cod_ncm,hscode,cod_pais_origem,urf_cod,via_transp_cod,sgl_uf_import,city_cod,cidade_import,combinacao_202405
85416090,8541,160,0817600,04,SP,3425904,JUNDIAI,1
84439960,8443,160,0817700,04,RJ,3304557,RIO DE JANEIRO,1
87084090,8708,160,0817600,04,SP,3449904,SAO JOSE DOS CAMPOS,0
84439950,8443,160,0817700,04,SP,3452205,SOROCABA,0
84439199,8443,160,0717700,04,RJ,3302254,ITATIAIA,1
87081000,8708,160,0817800,01,MG,3106705,BETIM,1
90189095,9018,160,0817600,04,RS,4314902,PORTO ALEGRE,1
90189099,9018,160,0817800,01,RJ,3301009,CAMPOS DOS GOYTACAZES,0
87084090,8708,160,0817600,04,SP,3425904,JUNDIAI,1
85414290,8541,160,1017801,04,RS,4304606,CANOAS,0
85411022,8541,160,0817700,04,SP,3422505,ITAPEVI,0
85415100,8541,160,0817800,01,SP,3450308,SAO PAULO,0
87082993,8708,160,0817800,01,SP,3448708,SAO BERNARDO DO CAMPO,1
85177190,8517,160,0817600,04,SP,3445803,SANTA BARBARA D'OESTE,0
29225039,2922,160,0817800,01,SP,3402903,ARACOIABA DA SERRA,0
29153991,2915,160,0817800,01,SP,3403307,ARARAS,0
85416010,8541,160,0617700,04,MG,3106200,BELO HORIZONTE,0
85176215,8517,160,0617700,04,MG,3159605,SANTA RITA DO SAPUCAI,0
87089300,8708,160,0817800,01,SP,3401608,AMERICANA,0
87089411,8708,160,0817800,01,SP,3418800,GUARULHOS,0
85176255,8517,160,0927700,01,RS,4306767,ELDORADO DO SUL,0
85414111,8541,160,0817800,01,MG,3136702,JUIZ DE FORA,0
87089990,8708,160,0927800,01,SP,3429401,MAUA,0
29339090,2933,160,0817800,01,SP,3440606,PORTO FELIZ,0
85176259,8517,160,0817700,04,SP,3452205,SOROCABA,1
87089200,8708,160,0817800,01,SP,3409205,CAJAMAR,1
29413090,2941,160,0817800,01,SP,3450308,SAO PAULO,1
84439949,8443,160,0817800,01,SP,3413009,COTIA,1
29339953,2933,160,0817800,01,SP,3413108,CRAVINHOS,1
29215990,2921,160,0817800,01,SP,3440606,PORTO FELIZ,0
29156019,2915,160,0817600,04,RJ,3304557,RIO DE JANEIRO,0
29333999,2933,160,0717600,01,RJ,3305554,SEROPEDICA,0
85176259,8517,160,0817600,04,SP,3418701,GUARUJA,0
90181980,9018,160,0817600,04,SP,3448708,SAO BERNARDO DO CAMPO,0
85415100,8541,160,0817800,01,MG,3125101,EXTREMA,0
85414112,8541,160,0817800,01,SP,3450308,SAO PAULO,0
87082994,8708,160,0817800,01,SP,3424402,JACAREI,0
87089100,8708,160,0927502,01,RS,4319000,SAO MARCOS,0
85412199,8541,160,0717700,04,RJ,3303500,NOVA IGUACU,0
87089522,8708,160,0817700,04,SP,3425904,JUNDIAI,0
85171890,8517,160,0817600,04,SP,3452205,SOROCABA,0
29151210,2915,160,0917800,01,RS,4312401,MONTENEGRO,0
29413090,2941,160,0817700,04,SP,3409502,CAMPINAS,1
85414300,8541,160,1017801,04,RS,4316907,SANTA MARIA,0
29333929,2933,160,0817700,04,SP,3413009,COTIA,1
87082999,8708,160,0817800,01,MG,3106705,BETIM,1
87082999,8708,160,0817600,04,SP,3419071,HORTOLANDIA,0
90183929,9018,160,1017700,01,RS,4314902,PORTO ALEGRE,0
85411022,8541,160,0817700,04,MG,3106705,BETIM,1
85176265,8517,160,0817800,01,SP,3405708,BARUERI,0
90183929,9018,160,0817600,04,MG,3106200,BELO HORIZONTE,1
87089300,8708,160,0817600,04,SP,3420509,INDAIATUBA,1
29333319,2933,160,0817600,04,SP,3415103,EMBU-GUACU,0
84439929,8443,160,0817600,04,SP,3450308,SAO PAULO,1
29332999,2933,160,0817800,01,SP,3452809,TABOAO DA SERRA,0
87081000,8708,160,0817800,01,RJ,3304557,RIO DE JANEIRO,0
29151100,2915,160,0817800,01,SP,3436505,PAULINIA,0
85414122,8541,160,0817800,01,SP,3452809,TABOAO DA SERRA,1
85414121,8541,160,0617700,04,MG,3106705,BETIM,1
29211929,2921,160,0817700,04,SP,3456206,VALINHOS,0
85414032,8541,160,0817800,01,MG,3170206,UBERLANDIA,0
29419099,2941,160,0817600,04,SP,3452809,TABOAO DA SERRA,0
87084090,8708,160,0817600,04,SP,3448708,SAO BERNARDO DO CAMPO,0
29332991,2933,160,0817700,04,SP,3456206,VALINHOS,0
85414121,8541,160,0817700,04,SP,3430607,MOGI DAS CRUZES,0
