,cod_ncm,hscode,cod_pais_origem,urf_cod,via_transp_cod,sgl_uf_import,city_cod,cidade_import,combinacao_202406,combinacao_202407
0,29334990,2933,160,817700,4,SP,3413009,COTIA,1.0,1.0
1,85414122,8541,160,817800,1,MG,3152501,POUSO ALEGRE,0.0,0.0
2,85416090,8541,160,817600,4,MG,3125101,EXTREMA,1.0,1.0
3,85176299,8517,160,817600,4,MG,3132404,ITAJUBA,0.0,0.0
4,85414300,8541,160,817800,1,MG,3104502,ARINOS,0.0,0.0
5,85411012,8541,160,817600,4,MG,3134905,JACUTINGA,1.0,1.0
6,87082999,8708,160,817800,1,SP,3409007,CAIEIRAS,1.0,1.0
7,84439990,8443,160,817700,4,SP,3447809,SANTO ANDRE,1.0,1.0
8,90189099,9018,160,817600,4,MG,3151800,POCOS DE CALDAS,0.0,0.0
9,85411012,8541,160,817600,4,MG,3132404,ITAJUBA,1.0,1.0
10,85176215,8517,160,817700,4,SP,3419071,HORTOLANDIA,1.0,1.0
11,29224961,2922,160,817600,4,SP,3413108,CRAVINHOS,1.0,1.0
12,29339969,2933,160,817800,1,RS,4319505,SAO SEBASTIAO DO CAI,0.0,0.0
13,85176900,8517,160,817800,1,SP,3452403,SUMARE,0.0,0.0
14,84439939,8443,160,717700,4,RJ,3304557,RIO DE JANEIRO,0.0,0.0
15,85411012,8541,160,817800,1,MG,3125101,EXTREMA,0.0,0.0
16,85177900,8517,160,817900,4,SP,3450308,SAO PAULO,1.0,1.0
17,29156029,2915,160,817700,4,RJ,3304557,RIO DE JANEIRO,0.0,0.0
18,87089910,8708,160,817800,1,SP,3423107,ITAQUAQUECETUBA,1.0,1.0
19,85176277,8517,160,817700,4,RS,4309209,GRAVATAI,0.0,0.0
20,85414121,8541,160,817800,1,RJ,3302254,ITATIAIA,0.0,0.0
21,29333946,2933,160,817600,4,SP,3450308,SAO PAULO,1.0,1.0
22,85411021,8541,160,817700,4,SP,3407001,BOITUVA,1.0,1.0
23,85414300,8541,160,817800,1,SP,3409502,CAMPINAS,0.0,0.0
24,85413029,8541,160,817700,4,SP,3427306,LOUVEIRA,1.0,1.0
25,87084090,8708,160,817800,1,SP,3449904,SAO JOSE DOS CAMPOS,1.0,1.0
26,29221999,2922,160,817600,4,SP,3431803,MONTE MOR,1.0,1.0
27,87082100,8708,160,817800,1,MG,3152501,POUSO ALEGRE,0.0,0.0
28,84433113,8443,160,817700,4,SP,3452205,SOROCABA,1.0,1.0
29,29215139,2921,160,817700,4,SP,3449904,SAO JOSE DOS CAMPOS,0.0,0.0
30,29212200,2921,160,817800,1,SP,3413801,DIADEMA,0.0,0.0
31,29211999,2921,160,817600,4,SP,3422604,ITAPIRA,0.0,0.0
32,85177029,8517,160,817700,4,SP,3405708,BARUERI,1.0,1.0
33,87087090,8708,160,617700,7,MG,3106705,BETIM,0.0,0.0
34,85411011,8541,160,817700,4,SP,3449805,SAO JOSE DO RIO PRETO,1.0,1.0
35,85412199,8541,160,817800,1,SP,3456701,VINHEDO,0.0,0.0
36,29339959,2933,160,817600,4,SP,3419071,HORTOLANDIA,1.0,1.0
37,85415100,8541,160,1017801,4,RS,4313904,PANAMBI,0.0,0.0
38,29339920,2933,160,817800,1,SP,3425003,JANDIRA,1.0,1.0
39,29151210,2915,160,1017700,1,RS,4315800,ROCA SALES,0.0,0.0
40,29152910,2915,160,927502,1,RS,4311627,LINDOLFO COLLOR,0.0,0.0
41,85176239,8517,160,1017700,1,RS,4314902,PORTO ALEGRE,0.0,0.0
42,87083090,8708,160,817800,1,SP,3405708,BARUERI,1.0,1.0
43,29221919,2922,160,817800,1,SP,3452205,SOROCABA,0.0,1.0
44,87089100,8708,160,817800,1,SP,3403901,ARUJA,1.0,1.0
45,84439990,8443,160,817700,4,SP,3429401,MAUA,1.0,1.0
46,85416010,8541,160,817600,4,MG,3106705,BETIM,1.0,1.0
47,29224220,2922,160,927800,1,SP,3410609,CARAPICUIBA,0.0,1.0
48,87089990,8708,160,817800,1,MG,3106705,BETIM,0.0,0.0
49,87082999,8708,160,817800,1,SP,3424006,ITUPEVA,1.0,1.0
50,85414011,8541,160,817700,4,MG,3137601,LAGOA SANTA,1.0,1.0
51,87083019,8708,160,817600,4,SP,3409205,CAJAMAR,1.0,1.0
52,85414021,8541,160,817600,4,MG,3159605,SANTA RITA DO SAPUCAI,1.0,1.0
53,84439970,8443,160,1017701,7,SP,3409205,CAJAMAR,0.0,0.0
54,84439980,8443,160,817600,4,SP,3434401,OSASCO,1.0,1.0
55,85414021,8541,160,717700,4,RJ,3302254,ITATIAIA,0.0,0.0
56,29157031,2915,160,817800,1,SP,3409502,CAMPINAS,1.0,1.0
57,85415100,8541,160,817700,4,SP,3409502,CAMPINAS,1.0,1.0
58,87082994,8708,160,927800,1,SP,3450308,SAO PAULO,1.0,1.0
59,85177091,8517,160,1017801,4,RS,4304606,CANOAS,0.0,0.0
60,29211112,2921,160,817800,1,SP,3422604,ITAPIRA,0.0,0.0
61,29339959,2933,160,817800,1,SP,3450308,SAO PAULO,1.0,1.0
62,29419059,2941,160,817600,4,SP,3413009,COTIA,1.0,1.0
63,85176272,8517,160,817700,4,SP,3427207,LORENA,1.0,1.0
64,85411022,8541,160,817700,4,SP,3443303,RIBEIRAO PIRES,1.0,1.0
65,85176254,8517,160,817600,4,SP,3405708,BARUERI,1.0,1.0
66,90183119,9018,160,817800,1,SP,3450308,SAO PAULO,1.0,0.0
67,87085099,8708,160,1017700,1,RS,4322608,VENANCIO AIRES,0.0,0.0
68,29331111,2933,160,817800,1,SP,3436307,PATROCINIO PAULISTA,1.0,1.0
69,85411021,8541,160,1017801,4,RS,4322707,VERA CRUZ,0.0,0.0
70,87089990,8708,160,817700,4,RS,4314902,PORTO ALEGRE,0.0,0.0
71,85411032,8541,160,717600,1,RJ,3303906,PETROPOLIS,0.0,0.0
72,85176262,8517,160,817700,4,SP,3420509,INDAIATUBA,1.0,1.0
73,85414021,8541,160,817700,4,RJ,3302254,ITATIAIA,0.0,0.0
74,90181290,9018,160,817600,4,MG,3118601,CONTAGEM,0.0,0.0
75,85414122,8541,160,927800,1,RS,4314902,PORTO ALEGRE,0.0,0.0
76,87085019,8708,160,817800,1,SP,3454003,TATUI,1.0,1.0
77,84439929,8443,160,1017801,4,RS,4306403,DOIS IRMAOS,0.0,0.0
78,85177190,8517,160,817800,1,SP,3410609,CARAPICUIBA,0.0,0.0
79,29335913,2933,160,817600,4,SP,3409502,CAMPINAS,1.0,1.0
80,85176299,8517,160,817700,4,SP,3409205,CAJAMAR,1.0,1.0
81,85411022,8541,160,1017801,4,RS,4305108,CAXIAS DO SUL,0.0,0.0
82,90183929,9018,160,817800,1,RS,4307708,ESTEIO,0.0,0.0
83,87089100,8708,160,817600,4,SP,3430607,MOGI DAS CRUZES,1.0,1.0
84,29339959,2933,160,817600,4,SP,3415103,EMBU-GUACU,1.0,1.0
85,90189096,9018,160,617700,4,MG,3144805,NOVA LIMA,0.0,0.0
86,87089300,8708,160,817800,1,SP,3456701,VINHEDO,1.0,1.0
87,85171490,8517,160,817600,4,SP,3450308,SAO PAULO,1.0,1.0
88,29335941,2933,160,817800,1,SP,3405708,BARUERI,1.0,1.0
89,85411099,8541,160,710200,4,RJ,3302403,MACAE,0.0,0.0
90,87089529,8708,160,817700,4,SP,3425904,JUNDIAI,1.0,1.0
91,85171490,8517,160,817700,4,SP,3403208,ARARAQUARA,1.0,1.0
92,29419049,2941,160,817700,4,SP,3436505,PAULINIA,1.0,1.0
93,87084090,8708,160,817700,4,RS,4316600,SANANDUVA,0.0,0.0
94,85411032,8541,160,817700,4,SP,3409502,CAMPINAS,1.0,1.0
95,85171100,8517,160,1010252,7,RS,4311007,JAGUARAO,0.0,0.0
96,85176299,8517,160,817600,4,SP,3409205,CAJAMAR,1.0,1.0
97,85414029,8541,160,817800,1,MG,3106200,BELO HORIZONTE,0.0,0.0
98,90183991,9018,160,817800,1,SP,3447304,SANTANA DE PARNAIBA,1.0,0.0
99,90189069,9018,160,817600,4,SP,3424006,ITUPEVA,1.0,1.0
100,85411019,8541,160,817800,1,SP,3407001,BOITUVA,0.0,0.0
101,29335923,2933,160,817600,4,SP,3420509,INDAIATUBA,1.0,1.0
102,29419041,2941,160,117600,4,MG,3152501,POUSO ALEGRE,0.0,0.0
103,29153999,2915,160,817600,4,SP,3418800,GUARULHOS,0.0,0.0
104,85176299,8517,160,817800,1,SP,3441406,PRESIDENTE PRUDENTE,0.0,0.0
105,84433191,8443,160,817600,4,SP,3418800,GUARULHOS,1.0,1.0
